Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
17590817;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;1;;;37501;751481.56;1139582.63;2013-12-03T00:00:00
17590825;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;2;;;37501;751476.75;1139614.38;2013-12-03T00:00:00
17590833;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;3;;;37501;751445.93;1139657.05;2022-10-16T00:00:00
17590841;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;4;;;37501;751333.63;1139582.38;2013-12-03T00:00:00
17590850;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;5;;;37501;751525.38;1139635.00;2013-12-03T00:00:00
17590868;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;6;;;37501;751418.19;1139786.25;2013-12-03T00:00:00
17590876;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;7;;;37501;751411.19;1139806.38;2013-12-03T00:00:00
17590884;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;8;;;37501;751477.00;1139783.50;2013-12-03T00:00:00
17590892;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;9;;;37501;751542.00;1139766.63;2013-12-03T00:00:00
17590906;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;10;;;37501;751607.92;1139710.79;2022-10-16T00:00:00
17590914;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;11;;;37501;751629.86;1139687.24;2022-10-16T00:00:00
17590922;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;12;;;37501;751684.62;1139699.68;2019-05-07T00:00:00
17590931;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;13;;;37501;751685.24;1139639.71;2022-10-16T00:00:00
17590949;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;14;;;37501;751648.67;1139621.39;2022-10-16T00:00:00
17590957;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;15;;;37501;751477.32;1139861.14;2015-01-15T00:00:00
17590965;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;16;;;37501;751475.38;1139835.63;2013-12-03T00:00:00
17590973;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;17;;;37501;751535.33;1139598.40;2022-10-16T00:00:00
17590981;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;18;;;37501;752496.54;1139150.66;2022-10-16T00:00:00
17590990;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;19;;;37501;751447.75;1139728.50;2013-12-03T00:00:00
17591007;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;20;;;37501;751581.19;1139692.25;2013-12-03T00:00:00
17591015;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;21;;;37501;751360.87;1139866.07;2022-10-16T00:00:00
17591023;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;22;;;37501;751493.36;1139549.59;2022-10-16T00:00:00
17591031;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;23;;;37501;751454.75;1139751.88;2013-12-03T00:00:00
17591058;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;25;;;37501;751485.30;1139860.51;2015-01-15T00:00:00
17591066;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;26;;;37501;751546.03;1139686.48;2021-08-18T00:00:00
17591074;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;27;;;37501;751677.63;1139575.38;2013-12-03T00:00:00
17591082;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;28;;;37501;751439.13;1139814.13;2013-12-03T00:00:00
17591091;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;29;;;37501;751499.68;1139598.48;2022-10-16T00:00:00
17591104;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;30;;;37501;751474.63;1139520.63;2013-12-03T00:00:00
17591112;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;31;;;37501;751494.19;1139810.63;2013-12-03T00:00:00
17591121;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;32;;;37501;751523.50;1139805.25;2013-12-03T00:00:00
17591139;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;33;;;37501;751508.06;1139472.25;2013-12-03T00:00:00
17591147;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;34;;;37501;751521.19;1139400.38;2013-12-03T00:00:00
17591155;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;35;;;37501;751344.88;1139618.13;2013-12-03T00:00:00
17591163;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;36;;;37501;751349.44;1139640.88;2013-12-03T00:00:00
17591171;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;37;;;37501;751354.25;1139665.38;2013-12-03T00:00:00
17591180;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;38;;;37501;751502.25;1139732.25;2013-12-03T00:00:00
17591198;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;39;;;37501;751425.56;1139857.25;2013-12-03T00:00:00
26719274;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;40;;;37501;751546.00;1139489.00;2013-12-03T00:00:00
83148949;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;42;;;37501;751511.02;1139443.66;2022-07-21T00:00:00
85787281;536199;Dobšice;;;;;28070;Dobšice;;;è.p.;44;;;37501;751146.47;1139888.48;2023-11-24T00:00:00
